employee_id,employee_name,role,department,peer_group_id,iris_score,scored_month
EMP-00001,Allison Hill,RN,Surgery,PG-003,79.9,2026-05-01
EMP-00002,Noah Rhodes,RN,Surgery,PG-005,76.74,2026-05-01
EMP-00003,Angie Henderson,Tech,Surgery,PG-006,79.37,2026-05-01
EMP-00004,Daniel Wagner,RN,Cardiology,PG-005,83.39,2026-05-01
EMP-00005,Cristian Santos,Tech,Cardiology,PG-006,42.76,2026-05-01
EMP-00006,Connie Lawrence,RN,Orthopedics,PG-003,24.66,2026-05-01
EMP-00007,Abigail Shaffer,Tech,Surgery,PG-009,22.9,2026-05-01
EMP-00008,Gina Moore,Tech,Cardiology,PG-006,41.89,2026-05-01
EMP-00009,Gabrielle Davis,RN,Orthopedics,PG-005,28.8,2026-05-01
EMP-00010,Ryan Munoz,Tech,Cardiology,PG-006,21.37,2026-05-01
EMP-00011,Monica Herrera,RN,ED,PG-002,45.99,2026-05-01
EMP-00012,Jamie Arnold,Tech,ED,PG-008,24.88,2026-05-01
EMP-00013,Lisa Hensley,Tech,ICU,PG-008,41.05,2026-05-01
EMP-00014,Michele Williams,RN,Cardiology,PG-002,36.02,2026-05-01
EMP-00015,Dylan Miller,RN,ICU,PG-004,28.1,2026-05-01
EMP-00016,Brian Ramirez,RN,ED,PG-002,44.65,2026-05-01
EMP-00017,Holly Wood,Tech,Orthopedics,PG-006,26.33,2026-05-01
EMP-00018,Derek Zuniga,Tech,ICU,PG-009,31.87,2026-05-01
EMP-00019,Lisa Jackson,Tech,ICU,PG-007,27.4,2026-05-01
EMP-00020,Carla Gray,Tech,Cardiology,PG-010,31.98,2026-05-01
EMP-00021,Margaret Hawkins DDS,RN,ICU,PG-004,22.73,2026-05-01
EMP-00022,Patty Perez,RN,Surgery,PG-002,43.76,2026-05-01
EMP-00023,Ethan Adams,Tech,Cardiology,PG-009,31.45,2026-05-01
EMP-00024,Tommy Walter,Tech,Cardiology,PG-010,45.82,2026-05-01
EMP-00025,Matthew Foster,RN,Surgery,PG-005,42.53,2026-05-01
EMP-00026,Judy Baker,Tech,Surgery,PG-009,24.74,2026-05-01
EMP-00027,Justin Baker,RN,ED,PG-002,35.23,2026-05-01
EMP-00028,Stephanie Ross,RN,ED,PG-005,38.27,2026-05-01
EMP-00029,Zachary Hicks,RN,ED,PG-005,48.6,2026-05-01
EMP-00030,Anthony Rodriguez,RN,Cardiology,PG-004,20.58,2026-05-01
EMP-00031,Rebecca Henderson,Tech,ED,PG-006,27.23,2026-05-01
EMP-00032,James Ferrell,RN,Surgery,PG-004,44.48,2026-05-01
EMP-00033,Tricia Valencia,RN,ICU,PG-004,48.41,2026-05-01
EMP-00034,Nathan Maldonado,RN,ED,PG-005,32.69,2026-05-01
EMP-00035,Debra Davidson,RN,Cardiology,PG-002,41.39,2026-05-01
EMP-00036,Jeffrey Chavez,Tech,ED,PG-010,33.54,2026-05-01
EMP-00037,Sherri Baker,RN,ICU,PG-003,20.63,2026-05-01
EMP-00038,Cassandra Gaines,RN,Cardiology,PG-001,22.13,2026-05-01
EMP-00039,Elizabeth Fowler,RN,ICU,PG-001,45.79,2026-05-01
EMP-00040,Brittany Farmer,RN,Cardiology,PG-003,40.07,2026-05-01
EMP-00041,Paula Moreno,RN,Cardiology,PG-005,37.29,2026-05-01
EMP-00042,Fred Smith,RN,Orthopedics,PG-002,22.83,2026-05-01
EMP-00043,Sherry Decker,Tech,ED,PG-009,34.01,2026-05-01
EMP-00044,Anthony Humphrey,RN,Surgery,PG-004,41.85,2026-05-01
EMP-00045,Angelica Tucker,RN,ICU,PG-002,36.09,2026-05-01
EMP-00046,Philip Cannon,RN,Orthopedics,PG-003,33.88,2026-05-01
EMP-00047,John Pierce,RN,Orthopedics,PG-001,21.52,2026-05-01
EMP-00048,Shane Henderson,RN,Surgery,PG-002,32.19,2026-05-01
EMP-00049,Joshua Blair,Tech,ICU,PG-006,24.94,2026-05-01
EMP-00050,Eric Carney,RN,Orthopedics,PG-004,28.56,2026-05-01
